"","Date","stock","value","change"
"314",2007-04-03,"AAPL",12.502205,-0.243381067579683
"315",2007-04-03,"GSPC",1437.77002,0.111281705540089
"316",2007-04-04,"MSFT",22.939113,0.175433984740388
"317",2007-04-04,"IBM",79.880522,0.322208710654153
"318",2007-04-04,"SBUX",14.358313,0.191443103378509
"319",2007-04-04,"AAPL",12.471777,0.434917975201131
"320",2007-04-04,"GSPC",1439.369995,0.304995589407152
"321",2007-04-05,"MSFT",22.979356,0.0700541825454095
"322",2007-04-05,"IBM",80.137904,0.103612642526813
"323",2007-04-05,"SBUX",14.385801,-0.828024800287452
"324",2007-04-05,"AAPL",12.526019,-1.0878715735622
"325",2007-04-05,"GSPC",1443.76001,0.0588723190913209
"326",2007-04-09,"MSFT",22.995454,-0.595026303894669
"327",2007-04-09,"IBM",80.220937,-0.165601406525596
"328",2007-04-09,"SBUX",14.266683,0.064226561983603
"329",2007-04-09,"AAPL",12.389752,0.640682719072998
"330",2007-04-09,"GSPC",1444.609985,0.261664396567209
"331",2007-04-10,"MSFT",22.858625,-1.02112441146395
"332",2007-04-10,"IBM",80.08809,-1.34770475859767
"333",2007-04-10,"SBUX",14.275846,-1.37997425861836
"334",2007-04-10,"AAPL",12.469131,-1.76126949023152
"335",2007-04-10,"GSPC",1448.390015,-0.657282907325202
"336",2007-04-11,"MSFT",22.62521,1.52970513864845
"337",2007-04-11,"IBM",79.008739,0.535934385688649
"338",2007-04-11,"SBUX",14.078843,-0.195250419370406
"339",2007-04-11,"AAPL",12.249516,-0.432017069082569
"340",2007-04-11,"GSPC",1438.869995,0.620629662932121
"341",2007-04-12,"MSFT",22.971309,0.24526682393241
"342",2007-04-12,"IBM",79.432174,-0.773490097350229
"343",2007-04-12,"SBUX",14.051354,0.29345214703152
"344",2007-04-12,"AAPL",12.196596,-2.11519673194062
"345",2007-04-12,"GSPC",1447.800049,0.348800029637243
"346",2007-04-13,"MSFT",23.02765,0.419430554138166
"347",2007-04-13,"IBM",78.817774,1.31676010032965
"348",2007-04-13,"SBUX",14.092588,0.942779282272363
"349",2007-04-13,"AAPL",11.938614,1.31870416448678
"350",2007-04-13,"GSPC",1452.849976,1.06549060506713
"351",2007-04-16,"MSFT",23.124235,0.417687331061977
"352",2007-04-16,"IBM",79.855615,0.977336408967605
"353",2007-04-16,"SBUX",14.22545,-0.0322028477130772
"354",2007-04-16,"AAPL",12.096049,-1.18122868053858
"355",2007-04-16,"GSPC",1468.329956,0.214531072333447
